rank,arxiv_id,published,relevance_score,title,authors,primary_category,score_reasons,matched_queries,abs_url,pdf_url
1,2605.23950,2026-05-07T15:24:59Z,30,Stop Comparing LLM Agents Without Disclosing the Harness,Yunbei Zhang; Janet Wang; Yingqiang Ge; Weijie Xu; Jihun Hamm; Chandan K. Reddy,cs.AI,attribution/statistics; evaluation; explicit harness/scaffold; harness component; trajectory,"all:""variance decomposition"" AND all:agent",https://arxiv.org/abs/2605.23950,https://arxiv.org/pdf/2605.23950
2,2606.08275,2026-06-06T17:44:23Z,27,Causal Agent Replay: Counterfactual Attribution for LLM-Agent Failures,Jaineet Shah,cs.LG,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.08275,https://arxiv.org/pdf/2606.08275
3,2605.17641,2026-05-17T20:21:55Z,26,Causal Intervention-Based Memory Selection for Long-Horizon LLM Agents,Saksham Sahai Srivastava,cs.AI,attribution/statistics; evaluation; harness component; reliability; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.17641,https://arxiv.org/pdf/2605.17641
4,2602.22953,2026-02-26T12:48:02Z,26,General Agent Evaluation,Elron Bandel; Asaf Yehudai; Lilach Eden; Yehoshua Sagron; Yotam Perlitz; Elad Venezian; Natalia Razinkov; Natan Ergas; Shlomit Shachor Ifergan; Segev Shlomov; Michal Jacovi; Leshem Choshen; Liat Ein-Dor; Yoav Katz; Michal Shmueli-Scheuer,cs.AI,attribution/statistics; evaluation; explicit harness/scaffold; harness component; reliability,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2602.22953,https://arxiv.org/pdf/2602.22953
5,2606.16364,2026-06-15T07:58:56Z,25,Looking Is Not Picking: An Attention-Segment Account of Tool-Selection Failures in LLM Agents,Shiyang Chen,cs.AI,attribution/statistics; explicit harness/scaffold; harness component; reliability; trajectory; transfer/overfit,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.16364,https://arxiv.org/pdf/2606.16364
6,2605.06066,2026-05-07T11:53:56Z,24,Causal Reinforcement Learning for Complex Card Games: A Magic The Gathering Benchmark,Cristiano da Costa Cunha; Ajmal Mian; Tim French; Wei Liu,cs.LG,attribution/statistics; evaluation; transfer/overfit,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2605.06066,https://arxiv.org/pdf/2605.06066
7,2604.01235,2026-03-26T18:50:46Z,24,Runtime Burden Allocation for Structured LLM Routing in Agentic Expert Systems: A Full-Factorial Cross-Backend Methodology,Zhou Hanlin; Chan Huah Yong,cs.AI,attribution/statistics; cost/budget; evaluation; transfer/overfit,all:factorial AND all:agent AND all:evaluation,https://arxiv.org/abs/2604.01235,https://arxiv.org/pdf/2604.01235
8,2602.22724,2026-02-26T07:59:10Z,24,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,Tian Zhang; Yiwei Xu; Juan Wang; Keyan Guo; Xiaoyang Xu; Bowen Xiao; Quanlong Guan; Jinlin Fan; Jiawei Liu; Zhiquan Liu; Hongxin Hu,cs.CR,attribution/statistics; evaluation; harness component; trajectory,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2602.22724,https://arxiv.org/pdf/2602.22724
9,2606.27154,2026-06-25T15:24:23Z,23,OpenRCA 2.0: From Outcome Labels to Causal Process Supervision,Aoyang Fang; Yifan Yang; Jin'ao Shang; Qisheng Lu; Junjielung Xu; Rui Wang; Songhan Zhang; Yuzhong Zhang; Boxi Yu; Pinjia He,cs.AI,attribution/statistics; evaluation; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.27154,https://arxiv.org/pdf/2606.27154
10,2606.15508,2026-06-13T23:27:51Z,23,ToolMenuBench: Benchmarking Tool-Menu Filtering Strategies for Reliable and Efficient LLM Agents,Rahul Suresh Babu; Laxmipriya Ganesh Iyer,cs.AI,attribution/statistics; cost/budget; evaluation; harness component; reliability,"all:causal AND all:""LLM agent"" AND all:evaluation",https://arxiv.org/abs/2606.15508,https://arxiv.org/pdf/2606.15508
