selection_rank,paper_id,published,priority,category,title,authors,primary_category,abs_url,pdf_url
1,2605.23950,2026-05-07T15:24:59Z,A,measurement,Stop Comparing LLM Agents Without Disclosing the Harness,Yunbei Zhang; Janet Wang; Yingqiang Ge; Weijie Xu; Jihun Hamm; Chandan K. Reddy,cs.AI,https://arxiv.org/abs/2605.23950,https://arxiv.org/pdf/2605.23950
2,2605.27922,2026-05-27T03:47:35Z,A,measurement,Harness-Bench: Measuring Harness Effects across Models in Realistic Agent Workflows,Yilun Yao; Xinyu Tan; Chao-Hsuan Liu; Yaoming Li; Zhengyang Wang; Wenhan Yu; Zhewen Tan; Yuxuan Tian; Guangxiang Zhao; Lin Sun; Xiangzheng Zhang; Tong Yang,cs.AI,https://arxiv.org/abs/2605.27922,https://arxiv.org/pdf/2605.27922
3,2604.00594,2026-04-01T07:59:59Z,A,measurement,Agent psychometrics: Task-level performance prediction in agentic coding benchmarks,Chris Ge; Daria Kryvosheieva; Daniel Fried; Uzay Girit; Kaivalya Hariharan,cs.AI,https://arxiv.org/abs/2604.00594,https://arxiv.org/pdf/2604.00594
4,2510.11977,2025-10-13T22:22:28Z,A,measurement,Holistic Agent Leaderboard: The Missing Infrastructure for AI Agent Evaluation,Sayash Kapoor; Benedikt Stroebl; Peter Kirgis; Nitya Nadgir; Zachary S Siegel; Boyi Wei; Tianci Xue; Ziru Chen; Felix Chen; Saiteja Utpala; Franck Ndzomga; Dheeraj Oruganty; Sophie Luskin; Kangheng Liu; Botao Yu; Amit Arora; Dongyoon Hahm; Harsh Trivedi; Huan Sun; Juyong Lee; Tengjun Jin; Yifan Mai; Yifei Zhou; Yuxuan Zhu; Rishi Bommasani; Daniel Kang; Dawn Song; Peter Henderson; Yu Su; Percy Liang; Arvind Narayanan,cs.AI,https://arxiv.org/abs/2510.11977,https://arxiv.org/pdf/2510.11977
5,2407.01502,2024-07-01T17:48:14Z,A,measurement,AI Agents That Matter,Sayash Kapoor; Benedikt Stroebl; Zachary S. Siegel; Nitya Nadgir; Arvind Narayanan,cs.LG,https://arxiv.org/abs/2407.01502,https://arxiv.org/pdf/2407.01502
6,2603.23749,2026-03-24T22:17:11Z,A,measurement,Efficient Benchmarking of AI Agents,Franck Ndzomga,cs.AI,https://arxiv.org/abs/2603.23749,https://arxiv.org/pdf/2603.23749
7,2601.11868,2026-01-17T01:29:30Z,A,benchmark,"Terminal-Bench: Benchmarking Agents on Hard, Realistic Tasks in Command Line Interfaces",Mike A. Merrill; Alexander G. Shaw; Nicholas Carlini; Boxuan Li; Harsh Raj; Ivan Bercovich; Lin Shi; Jeong Yeon Shin; Thomas Walshe; E. Kelly Buchanan; Junhong Shen; Guanghao Ye; Haowei Lin; Jason Poulos; Maoyu Wang; Marianna Nezhurina; Jenia Jitsev; Di Lu; Orfeas Menis Mastromichalakis; Zhiwei Xu; Zizhao Chen; Yue Liu; Robert Zhang; Leon Liangyu Chen; Anurag Kashyap; Jan-Lucas Uslu; Jeffrey Li; Jianbo Wu; Minghao Yan; Song Bian; Vedang Sharma; Ke Sun; Steven Dillmann; Akshay Anand; Andrew Lanpouthakoun; Bardia Koopah; Changran Hu; Etash Guha; Gabriel H. S. Dreiman; Jiacheng Zhu; Karl Krauth; Li Zhong; Niklas Muennighoff; Robert Amanfu; Shangyin Tan; Shreyas Pimpalgaonkar; Tushar Aggarwal; Xiangning Lin; Xin Lan; Xuandong Zhao; Yiqing Liang; Yuanli Wang; Zilong Wang; Changzhi Zhou; David Heineman; Hange Liu; Harsh Trivedi; John Yang; Junhong Lin; Manish Shetty; Michael Yang; Nabil Omi; Negin Raoof; Shanda Li; Terry Yue Zhuo; Wuwei Lin; Yiwei Dai; Yuxin Wang; Wenhao Chai; Shang Zhou; Dariush Wahdany; Ziyu She; Jiaming Hu; Zhikang Dong; Yuxuan Zhu; Sasha Cui; Ahson Saiyed; Arinbjörn Kolbeinsson; Jesse Hu; Christopher Michael Rytting; Ryan Marten; Yixin Wang; Alex Dimakis; Andy Konwinski; Ludwig Schmidt,cs.SE,https://arxiv.org/abs/2601.11868,https://arxiv.org/pdf/2601.11868
8,2601.10343,2026-01-15T12:36:08Z,A,benchmark,OctoBench: Benchmarking Scaffold-Aware Instruction Following in Repository-Grounded Agentic Coding,Deming Ding; Shichun Liu; Enhui Yang; Jiahang Lin; Ziying Chen; Shihan Dou; Honglin Guo; Weiyu Cheng; Pengyu Zhao; Chengjun Xiao; Qunhong Zeng; Qi Zhang; Xuanjing Huang; Qidi Xu; Tao Gui,cs.CL,https://arxiv.org/abs/2601.10343,https://arxiv.org/pdf/2601.10343
9,2604.11978,2026-04-13T19:11:42Z,A,reliability,The Long-Horizon Task Mirage? Diagnosing Where and Why Agentic Systems Break,Xinyu Jessica Wang; Haoyue Bai; Yiyou Sun; Haorui Wang; Shuibai Zhang; Wenjie Hu; Mya Schroder; Bilge Mutlu; Dawn Song; Robert D Nowak,cs.AI,https://arxiv.org/abs/2604.11978,https://arxiv.org/pdf/2604.11978
10,2603.29231,2026-03-31T03:56:39Z,A,reliability,Beyond pass@1: A Reliability Science Framework for Long-Horizon LLM Agents,Aaditya Khanal; Yangyang Tao; Junxiu Zhou,cs.AI,https://arxiv.org/abs/2603.29231,https://arxiv.org/pdf/2603.29231
