rank,arxiv_id,published,relevance_score,title,authors,primary_category,score_reasons,matched_queries,abs_url,pdf_url
1,2606.20683,2026-06-14T05:40:16Z,33,From Question Answering to Task Completion: A Survey on Agent System and Harness Design,Jianyuan Guo; Zhiwei Hao; Chengcheng Wang; Cheng Fan; Tingzhang Luo; Hongguang Li; Ying Gao; Hefei Mei; Jiankun Peng; Rongjian Xu; Minjing Dong; Han Wu; Mengyu Zheng; Kai Han; Shiqi Wang; Chang Xu; Yunhe Wang,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; reliability; trajectory; transfer/overfit,"all:""harness engineering"" | all:""model harness""",https://arxiv.org/abs/2606.20683,https://arxiv.org/pdf/2606.20683
2,2606.09416,2026-06-08T12:29:54Z,32,Harness Engineering for Physical AI: Robot Middleware Is the Harness Layer,Sanghoon Lee; Jiyeong Chae; Kyung-Joon Park,cs.RO,attribution/statistics; cost/budget; explicit harness/scaffold; harness component; trajectory; transfer/overfit,"all:""harness engineering"" | all:""inference-time"" AND all:agent",https://arxiv.org/abs/2606.09416,https://arxiv.org/pdf/2606.09416
3,2605.13357,2026-05-13T11:14:59Z,31,AI Harness Engineering: A Runtime Substrate for Foundation-Model Software Agents,Hailin Zhong; Shengxin Zhu,cs.SE,attribution/statistics; evaluation; explicit harness/scaffold; harness component; reliability,"all:""harness engineering"" | all:""model harness""",https://arxiv.org/abs/2605.13357,https://arxiv.org/pdf/2605.13357
4,2607.06906,2026-07-08T01:58:12Z,30,The Harness Effect: How Orchestration Design Sets the Token Economics of Enterprise Agentic AI,Muayad Sayed Ali; Aliaksandra Novik; Anji Boddupally; Artem Yavorskyi; Chris Nickerson; Daniel Rica; Emily DuGranrut; Felix Leung; Garrett Prince; Grace Barnett; Heath Robinson; Hosain Al Ahmad; Jesse Resnick; Juan Carlos Farah; Jyothi Swaroop Meruga; Leonid Kuznetsov; Luke Gorham; Marie Schmoll; Michael Paciullo; Saumya Das; Sharath Sheripally; Tommy Griscom; Mykyta Osadchyi; Neha Mantri; Nick Westrum; Olivia Benowitz; Parikshith Kulkarni; Radik Chernyshov; Rakshith Vasudev; Rohith Nadimpally; Vikas Gangadevi; Waseem AlShikh,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; reliability,"all:""agent harness"" | all:""agentic system"" AND all:evaluation | all:""harness effect""",https://arxiv.org/abs/2607.06906,https://arxiv.org/pdf/2607.06906
5,2605.23950,2026-05-07T15:24:59Z,30,Stop Comparing LLM Agents Without Disclosing the Harness,Yunbei Zhang; Janet Wang; Yingqiang Ge; Weijie Xu; Jihun Hamm; Chandan K. Reddy,cs.AI,attribution/statistics; evaluation; explicit harness/scaffold; harness component; trajectory,"all:""LLM agent"" AND all:verification",https://arxiv.org/abs/2605.23950,https://arxiv.org/pdf/2605.23950
6,2607.04528,2026-07-05T22:22:39Z,28,Measuring Harness-Induced Belief Divergence in Multi-Step LLM Agents,Haiwen Yi; Xinyuan Song,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; reliability,"all:""LLM agent"" AND all:evaluation | all:""LLM agent"" AND all:verification | all:""LLM agents"" AND all:benchmark",https://arxiv.org/abs/2607.04528,https://arxiv.org/pdf/2607.04528
7,2605.27922,2026-05-27T03:47:35Z,28,Harness-Bench: Measuring Harness Effects across Models in Realistic Agent Workflows,Yilun Yao; Xinyu Tan; Chao-Hsuan Liu; Yaoming Li; Zhengyang Wang; Wenhan Yu; Zhewen Tan; Yuxuan Tian; Guangxiang Zhao; Lin Sun; Xiangzheng Zhang; Tong Yang,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; reliability,"all:""harness effect"" | all:""model harness""",https://arxiv.org/abs/2605.27922,https://arxiv.org/pdf/2605.27922
8,2605.26731,2026-05-26T09:08:41Z,28,It's Not the Capability: Harness Sensitivity Is Non-Monotone Across LLM Agent Tiers,Yong-eun Cho,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; reliability,"all:""LLM agent"" AND all:verification",https://arxiv.org/abs/2605.26731,https://arxiv.org/pdf/2605.26731
9,2606.27243,2026-06-25T16:30:39Z,27,NOVA: A Verification-Aware Agent Harness for Architecture Evolution in Industrial Recommender Systems,Shaohua Liu; Liang Fang; Yilong Sun; Shudong Huang; Qingsong Luo; Shaoxin Liu; Xiaoyang Chen; Dongqiang Liu; Chuangang Ma; Zhenzhen Chai; Henghuan Wang; Shijie Quan; Changyuan Cui; Zhangbin Zhu; Peng Chen; Wei Xu; Lei Xiao; Haijie Gu; Jie Jiang,cs.IR,explicit harness/scaffold; harness component; reliability; trajectory,"all:""agent harness""",https://arxiv.org/abs/2606.27243,https://arxiv.org/pdf/2606.27243
10,2605.26112,2026-05-25T17:59:36Z,27,From Model Scaling to System Scaling: Scaling the Harness in Agentic AI,Shangding Gu,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; trajectory,"all:""agent harness""",https://arxiv.org/abs/2605.26112,https://arxiv.org/pdf/2605.26112
