category,slug,title,source_type,url,reason,local_path
conference_tutorial_index,awesome_ai_tutorials_surveys,Recent AI Advances Tutorials and Surveys in Top AI Conferences and Journals,github_repo,https://github.com/qingsongedu/awesome-AI-tutorials-surveys,Curated tutorial/keynote/invited-talk/survey index across NeurIPS ICML ICLR ACL EMNLP and related venues,keynotes/fallback/source-pages/awesome_ai_tutorials_surveys.md
conference_talk_slides,talks_keynotes_slides,Talks Keynotes and Slides,github_repo,https://github.com/qingsongedu/Talks-Keynotes-slides,Public GitHub collection of talk/keynote/slide materials useful when official event pages do not expose direct downloads,keynotes/fallback/source-pages/talks_keynotes_slides.md
nlp_conference_index,nlp_conference_compendium,NLP Conference Compendium,github_repo,https://github.com/soulbliss/NLP-conference-compendium,Community compendium of resources from top NLP conferences,keynotes/fallback/source-pages/nlp_conference_compendium.md
llm_systems,llmsys_paperlist,Large Language Model Systems Paper List,github_repo,https://github.com/AmberLJC/LLMSys-PaperList,Useful fallback for LLM systems/tutorial/paper trails around ICML ICLR NeurIPS-style systems work,keynotes/fallback/source-pages/llmsys_paperlist.md
causal_nlp,causalnlp_papers,Causal NLP Papers,github_repo,https://github.com/zhijing-jin/CausalNLP_Papers,Curated reading list for causality in NLP; useful for keynote-to-paper expansion around robustness reasoning and evaluation,keynotes/fallback/source-pages/causalnlp_papers.md
nlp_social_good,nlp4socialgood_papers,NLP for Social Good Papers,github_repo,https://github.com/zhijing-jin/NLP4SocialGood_Papers,Curated NLP social-good list; useful fallback for keynote topics about society multilinguality and responsible NLP,keynotes/fallback/source-pages/nlp4socialgood_papers.md
knowledge_graphs,knowledge_graph_tutorials_papers,Knowledge Graph Tutorials and Papers,github_repo,https://github.com/heathersherry/Knowledge-Graph-Tutorials-and-Papers,Useful fallback for knowledge graph retrieval reasoning and LLM tutorial trails,keynotes/fallback/source-pages/knowledge_graph_tutorials_papers.md
best_paper_filter,top_conference_best_papers,Top Conference Best Papers,github_repo,https://github.com/FeijiangHan/Top-Conference-Best-Papers,Quality-filter companion list when keynote material is missing and you need stronger-than-average paper targets,keynotes/fallback/source-pages/top_conference_best_papers.md
nlp_learning_index,the_nlp_pandect,The NLP Pandect,github_repo,https://github.com/ivan-bilan/The-NLP-Pandect,Broad NLP resource index for filling background gaps exposed by keynote talks,keynotes/fallback/source-pages/the_nlp_pandect.md
optimization_llm,llm4opt,LLM4Opt,github_repo,https://github.com/FeiLiu36/LLM4Opt,LLM optimization and operations list; useful when ICML ICLR workshop/keynote material points toward optimization systems,keynotes/fallback/source-pages/llm4opt.md
skipped_page_fallback,colm_2025_visions_lm_public_url,Visions of Language Modeling public URL,public_web,https://www.lmvisionscolm.com/,Official public page was not archived locally because Windows Defender flagged the HTML snapshot; keep URL only unless a trusted mirror appears,keynotes/fallback/source-pages/colm_2025_visions_lm.skipped.txt
